iter	RMSE
0	1.847437688
1	1.831705715
2	1.816576767
3	1.801861076
4	1.787508162
5	1.774248693
6	1.761156441
7	1.748790473
8	1.73592199
9	1.723787025
10	1.712019061
11	1.700786971
12	1.690031142
13	1.679784962
14	1.670101762
15	1.660872811
16	1.652286619
17	1.6437839
18	1.635923037
19	1.62847354
20	1.62137021
21	1.614685013
22	1.607882002
23	1.601779778
24	1.59562156
25	1.590134288
26	1.584907331
27	1.579834803
28	1.574846333
29	1.570245849
30	1.565857638
31	1.561739602
32	1.557827847
33	1.553778594
34	1.550301375
35	1.54692076
36	1.543645668
37	1.540162054
38	1.536973948
39	1.534250405
40	1.531597567
41	1.528845979
42	1.526448086
43	1.523917901
44	1.521747309
45	1.51910177
46	1.516849851
47	1.514555386
48	1.51261297
49	1.510774609
50	1.508928235
51	1.506863887
52	1.50500203
53	1.503362776
54	1.501790339
55	1.500337201
56	1.498859769
57	1.497533593
58	1.496057045
59	1.494807692
60	1.493357757
61	1.491832386
62	1.490541785
63	1.489126379
64	1.488010018
65	1.486981032
66	1.486032779
67	1.484965481
68	1.483980298
69	1.483085673
70	1.482258895
71	1.481419364
72	1.480244926
73	1.479108157
74	1.478121102
75	1.477344721
76	1.476481449
77	1.475646139
78	1.474906651
79	1.474109286
80	1.473341949
81	1.472428196
82	1.471734432
83	1.471004309
84	1.470407973
85	1.469805164
86	1.469069679
87	1.46843544
88	1.467814786
89	1.46717859
90	1.466281626
91	1.465698199
92	1.465145997
93	1.464564409
94	1.463908332
95	1.463261594
96	1.462705759
97	1.462164997
98	1.461651139
99	1.46119826
100	1.460675556
101	1.460054405
102	1.459619851
103	1.459113676
104	1.458725555
105	1.458219946
106	1.457782151
107	1.457335323
108	1.456945329
109	1.456373256
110	1.456021251
111	1.455589183
112	1.455234059
113	1.45472299
114	1.454142964
115	1.453782287
116	1.453393049
117	1.453037648
118	1.452512764
119	1.45212667
120	1.451767642
121	1.451445131
122	1.451149466
123	1.450670304
124	1.450311643
125	1.449931715
126	1.449564146
127	1.449139279
128	1.448608519
129	1.448266539
130	1.447942441
131	1.447614556
