iter	Passed	Remaining
0	326	653370
1	431	430940
2	584	388879
3	693	346033
4	796	317704
5	910	302477
6	1049	298730
7	1146	285559
8	1260	278851
9	1367	272101
10	1472	266279
11	1603	265571
12	1745	266726
13	1912	271313
14	1999	264626
15	2134	264661
16	2246	262053
17	2357	259554
18	2491	259807
19	2591	256587
20	2698	254280
21	2793	251193
22	2897	249021
23	3006	247539
24	3124	246797
25	3229	245181
26	3345	244442
27	3454	243330
28	3569	242606
29	3672	241189
30	3786	240530
31	3898	239783
32	4004	238696
33	4140	239418
34	4228	237399
35	4338	236666
36	4439	235530
37	4570	235956
38	4705	236624
39	4810	235691
40	4913	234770
41	5028	234401
42	5147	234253
43	5285	234963
44	5400	234602
45	5537	235238
46	5679	235998
47	5801	235936
48	5931	236177
49	6067	236618
50	6185	236382
51	6305	236229
52	6416	235703
53	6526	235195
54	6660	235546
55	6783	235493
56	6902	235276
57	7014	234859
58	7154	235373
59	7245	234264
60	7382	234650
61	7513	234869
62	7640	234905
63	7781	235381
64	7908	235422
65	8010	234734
66	8134	234681
67	8257	234617
68	8398	235039
69	8507	234559
70	8624	234311
71	8748	234274
72	8882	234480
73	9013	234598
74	9156	235017
75	9262	234489
76	9396	234675
77	9507	234284
78	9645	234540
79	9795	235103
80	9929	235244
81	10027	234552
82	10151	234454
83	10270	234263
84	10382	233902
85	10509	233895
86	10649	234168
87	10794	234532
88	10931	234710
89	11067	234867
90	11199	234951
91	11312	234605
92	11427	234321
93	11585	234918
94	11730	235218
95	11850	235038
96	11972	234878
97	12128	235389
98	12271	235645
99	12388	235377
100	12523	235467
101	12658	235545
102	12761	235028
103	12900	235178
104	13043	235403
105	13197	235813
106	13349	236168
107	13489	236307
108	13635	236564
109	13781	236798
110	13925	236977
111	14051	236873
112	14182	236835
113	14319	236898
114	14451	236883
115	14588	236935
116	14724	236973
117	14852	236885
118	14982	236820
119	15133	237098
120	15290	237442
121	15443	237723
122	15592	237941
123	15741	238157
124	15899	238491
125	16034	238487
126	16186	238712
127	16328	238807
128	16463	238778
129	16602	238822
130	16741	238849
131	16880	238879
132	17023	238975
133	17177	239197
134	17312	239163
135	17451	239184
136	17589	239191
137	17732	239261
138	17869	239246
139	17995	239088
140	18133	239079
141	18269	239041
142	18400	238952
143	18549	239086
144	18679	238968
145	18806	238815
146	18957	238965
147	19107	239099
148	19246	239098
149	19390	239147
150	19519	239021
151	19653	238941
152	19784	238839
153	19917	238750
154	20040	238543
155	20169	238413
156	20304	238345
157	20425	238128
158	20561	238068
159	20692	237966
160	20826	237893
161	20959	237795
162	21100	237801
163	21223	237597
164	21365	237613
165	21486	237388
166	21601	237095
167	21741	237091
168	21882	237078
169	22016	236998
170	22152	236943
171	22264	236625
172	22385	236405
173	22537	236512
174	22665	236373
175	22799	236287
176	22957	236451
177	23091	236359
178	23220	236222
179	23356	236160
180	23485	236021
181	23605	235796
182	23724	235563
183	23851	235406
184	23972	235191
185	24102	235060
186	24230	234918
187	24351	234703
188	24473	234503
189	24606	234413
190	24731	234239
191	24863	234128
192	24974	233825
193	25107	233729
194	25223	233482
195	25371	233521
196	25498	233373
197	25632	233277
198	25756	233104
199	25890	233013
200	26016	232855
201	26154	232803
202	26360	233347
203	26484	233170
204	26584	232778
205	26720	232700
206	26857	232636
207	26974	232394
208	27121	232415
209	27244	232228
210	27390	232235
211	27539	232263
212	27664	232096
213	27797	231991
214	27942	231987
215	28071	231852
216	28232	231971
217	28374	231939
218	28536	232069
219	28696	232182
220	28824	232032
221	28959	231933
222	29093	231837
223	29205	231561
224	29344	231495
225	29468	231310
226	29579	231030
227	29724	231020
228	29846	230823
229	29977	230693
230	30140	230817
231	30287	230809
232	30441	230859
233	30580	230793
234	30714	230683
235	30857	230649
236	30988	230520
237	31121	230406
238	31253	230281
239	31376	230092
240	31509	229980
241	31605	229595
242	31717	229332
243	31868	229349
244	31979	229077
245	32121	229029
246	32254	228917
247	32398	228879
248	32519	228680
249	32653	228575
250	32772	228360
251	32892	228157
252	33012	227953
253	33156	227915
254	33282	227758
255	33410	227609
256	33553	227560
257	33690	227476
258	33820	227344
259	33954	227231
260	34077	227053
261	34202	226883
262	34328	226726
263	34449	226530
264	34581	226409
265	34713	226292
266	34855	226233
267	34982	226083
268	35109	225927
269	35242	225813
270	35421	225993
271	35611	226234
272	35906	227143
273	36053	227111
274	36216	227179
275	36380	227245
276	36533	227248
277	36670	227148
278	36805	227030
279	36924	226819
280	37057	226697
281	37203	226653
282	37345	226579
283	37520	226711
284	37768	227273
285	37964	227524
286	38241	228251
287	38443	228526
288	38625	228678
289	38779	228667
290	38939	228684
291	39070	228537
292	39196	228354
293	39346	228316
294	39469	228121
295	39602	227982
296	39741	227877
297	39929	228052
298	40055	227873
299	40178	227680
300	40312	227543
301	40463	227507
302	40600	227392
303	40724	227201
304	40876	227164
305	41025	227113
306	41165	227015
307	41308	226928
308	41430	226726
309	41557	226556
310	41709	226519
311	41863	226490
312	42000	226370
313	42149	226319
314	42285	226192
315	42427	226103
316	42567	225997
317	42687	225787
318	42823	225661
319	42985	225671
320	43142	225659
321	43311	225706
322	43444	225559
323	43596	225520
324	43785	225662
325	43913	225495
326	44064	225444
327	44238	225508
328	44394	225481
329	44543	225417
330	44671	225247
331	44824	225204
332	44950	225022
333	45104	224981
334	45256	224931
335	45391	224794
336	45538	224719
337	45686	224650
338	45823	224519
339	45950	224348
340	46094	224252
341	46224	224095
342	46354	223931
343	46486	223784
344	46622	223653
345	46762	223543
346	46900	223417
347	47023	223226
348	47145	223029
349	47262	222811
350	47385	222616
351	47513	222449
352	47652	222334
353	47785	222189
354	47916	222033
355	48070	221987
356	48203	221844
357	48344	221737
358	48491	221655
359	48586	221337
360	48713	221169
361	48851	221048
362	48978	220874
363	49110	220728
364	49222	220489
365	49362	220378
366	49507	220289
367	49642	220153
368	49764	219960
369	49888	219780
370	50035	219699
371	50190	219649
372	50333	219549
373	50479	219465
374	50604	219286
375	50744	219172
376	50872	219009
377	51016	218910
378	51163	218829
379	51297	218691
380	51437	218575
381	51575	218452
382	51727	218391
383	51863	218259
384	51991	218092
385	52117	217923
386	52249	217773
387	52371	217583
388	52506	217451
389	52707	217587
390	52852	217493
391	53005	217431
392	53143	217306
393	53302	217270
394	53433	217116
395	53579	217025
396	53744	217006
397	53911	217000
398	54050	216879
399	54176	216705
400	54326	216628
401	54455	216465
402	54604	216386
403	54746	216274
404	54870	216094
405	55002	215944
406	55143	215831
407	55269	215659
408	55399	215503
409	55526	215334
410	55685	215290
411	55829	215188
412	55962	215044
413	56104	214931
414	56255	214855
415	56377	214668
416	56509	214520
417	56648	214395
418	56760	214173
419	56892	214023
420	57033	213909
421	57171	213783
422	57302	213630
423	57433	213481
424	57558	213305
425	57694	213172
426	57822	213009
427	57957	212873
428	58103	212773
429	58248	212673
430	58376	212510
431	58527	212431
432	58651	212255
433	58780	212098
434	58922	211987
435	59037	211776
436	59174	211645
437	59303	211489
438	59425	211305
439	59556	211155
440	59693	211026
441	59826	210883
442	59998	210874
443	60124	210707
444	60245	210520
445	60379	210379
446	60525	210281
447	60651	210113
448	60770	209921
449	60905	209784
450	61036	209636
451	61174	209509
452	61309	209372
453	61446	209241
454	61587	209126
455	61724	208997
456	61861	208865
457	61994	208724
458	62124	208570
459	62264	208449
460	62412	208358
461	62554	208242
462	62665	208026
463	62790	207856
464	62921	207709
465	63038	207512
466	63170	207367
467	63317	207270
468	63432	207069
469	63571	206946
470	63703	206801
471	63836	206656
472	63935	206404
473	64048	206199
474	64184	206067
475	64335	205980
476	64443	205758
477	64576	205619
478	64706	205467
479	64846	205347
480	64971	205179
481	65102	205033
482	65230	204874
483	65370	204754
484	65513	204645
485	65639	204482
486	65766	204320
487	65885	204136
488	66006	203957
489	66145	203836
490	66269	203668
491	66392	203496
492	66533	203378
493	66663	203227
494	66786	203057
495	66924	202932
496	67051	202774
497	67182	202628
498	67306	202458
499	67440	202320
500	67574	202184
501	67723	202090
502	67852	201937
503	67939	201660
504	68085	201560
505	68219	201422
506	68366	201323
507	68487	201149
508	68617	200998
509	68754	200871
510	68891	200743
511	69015	200577
512	69127	200374
513	69256	200223
514	69388	200081
515	69588	200133
516	69717	199982
517	69863	199879
518	69999	199749
519	70130	199602
520	70257	199444
521	70396	199320
522	70529	199182
523	70660	199035
524	70790	198886
525	70915	198725
526	71047	198583
527	71163	198396
528	71298	198261
529	71438	198140
530	71569	197995
531	71712	197883
532	71846	197745
533	71981	197612
534	72102	197440
535	72229	197284
536	72359	197137
537	72489	196987
538	72623	196852
539	72775	196762
540	72929	196681
541	73068	196557
542	73213	196449
543	73351	196323
544	73489	196197
545	73629	196075
546	73746	195892
547	73877	195747
548	74006	195597
549	74140	195462
550	74272	195319
551	74410	195191
552	74530	195019
553	74626	194784
554	74738	194589
555	74852	194400
556	74983	194256
557	75136	194169
558	75277	194051
559	75406	193902
560	75531	193744
561	75671	193622
562	75799	193469
563	75917	193294
564	76035	193115
565	76167	192974
566	76284	192796
567	76413	192647
568	76557	192538
569	76692	192403
570	76827	192269
571	76964	192143
572	77088	191982
573	77214	191826
574	77349	191691
575	77477	191542
576	77624	191436
577	77761	191308
578	77908	191206
579	78044	191075
580	78152	190874
581	78270	190699
582	78395	190543
583	78518	190379
584	78636	190206
585	78771	190073
586	78895	189913
587	79022	189760
588	79177	189676
589	79320	189562
590	79439	189391
591	79560	189225
592	79668	189027
593	79811	188913
594	79949	188788
595	80063	188605
596	80199	188475
597	80324	188319
598	80458	188184
599	80599	188064
600	80728	187919
601	80836	187723
602	80967	187581
603	81107	187461
604	81249	187342
605	81380	187202
606	81521	187084
607	81662	186964
